Vnum	Name	Rank	Type	BattleType	Level	Size	AiFlags	MountCapacity	RaceFlags	ImmuneFlags	Empire	Folder	OnClick	St	Dx	Ht	Iq	MinDamage	MaxDamage	MaxHp	RegenCycle	RegenPercent	MinGold	MaxGold	Exp	Def	AttackSpeed	MoveSpeed	AggressiveHpPct	AggressiveSight	AttackRange	DropItemGroup	ResurrectionVnum	EnchantCurse	EnchantSlow	EnchantPoison	EnchantStun	EnchantCritical	EnchantPenetrate	ResistSword	ResistTwoHanded	ResistDagger	ResistBell	ResistFan	ResistBow	ResistFire	ResistElect	ResistMagic	ResistWind	ResistPoison	ResistClaw	DamMultiply	SummonVnum	DrainSp	MobColor	PolymorphItem	SkillLevel0	SkillVnum0	SkillLevel1	SkillVnum1	SkillLevel2	SkillVnum2	SkillLevel3	SkillVnum3	SkillLevel4	SkillVnum4	SpBerserk	SpStoneskin	SpGodspeed	SpDeathblow	SpRevive
101	??	PAWN	MONSTER	MELEE	1			0	ANIMAL		0	stray_dog	0	3	6	5	2	20	24	126	6	7	783	1821	1744	4	100	100	0	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	??	PAWN	MONSTER	MELEE	3			0	ANIMAL		0	wolf	0	4	9	7	2	23	28	162	6	7	783	1821	1744	6	100	100	25	2000	175	30028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	????	PAWN	MONSTER	MELEE	4			0	ANIMAL		0	wolf	0	8	5	10	3	25	30	182	6	7	783	1821	1744	7	100	130	25	2000	175	30069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	????	PAWN	MONSTER	MELEE	6			0	ANIMAL		0	wolf	0	9	12	6	3	25	38	225	6	7	783	1821	1744	9	100	100	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	?? ????	PAWN	MONSTER	MELEE	9			0	ANIMAL		0	wolf	0	14	8	16	4	33	41	297	6	7	783	1821	1744	13	80	100	25	2000	175	30027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	????	PAWN	MONSTER	MELEE	13			0	ANIMAL		0	wolf	0	21	21	10	5	40	49	412	6	7	783	1821	1744	17	100	100	25	2000	175	30070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	?? ????	S_PAWN	MONSTER	MELEE	16			0	ANIMAL		0	wolf	0	23	24	12	6	45	55	614	6	12	783	1821	1744	20	80	130	25	2000	175	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	???	PAWN	MONSTER	MELEE	7			0	ANIMAL		0	wild_boar	0	14	7	10	3	30	37	248	6	7	783	1821	1744	11	80	100	30	2000	175	30004	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	?? ???	S_PAWN	MONSTER	MELEE	10			0	ANIMAL		0	wild_boar	0	22	9	13	4	35	43	389	3	7	783	2821	2744	14	80	100	30	2000	175	30003	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	?	PAWN	MONSTER	POWER	12			0	ANIMAL		0	bear	0	20	10	20	5	39	47	381	6	7	783	1821	1744	16	100	70	40	2000	175	30010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111	???	S_PAWN	MONSTER	TANKER	15			0	ANIMAL		0	bear	0	14	17	34	6	44	53	572	6	7	783	1821	1744	19	100	100	40	2000	175	30071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	???	PAWN	MONSTER	POWER	19			0	ANIMAL		0	bear	0	36	14	21	7	50	62	624	6	7	783	1821	1744	24	100	100	40	2000	175	30053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	??	S_PAWN	MONSTER	POWER	21			0	ANIMAL		0	bear	0	35	15	23	8	54	66	845	6	12	783	1821	1744	26	100	100	40	2000	175	30072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114	???	PAWN	MONSTER	POWER	18			0	ANIMAL		0	tiger	0	18	20	27	7	49	60	585	6	12	783	1821	1744	22	100	100	50	2000	175	30038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115	??	S_PAWN	MONSTER	POWER	24		AGGR	0	ANIMAL		0	tiger	0	25	17	45	9	59	72	1007	10	22	783	1821	2744	29	100	130	50	2000	175	30023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131	???? ??	KNIGHT	MONSTER	MELEE	8		AGGR	0	ANIMAL	CURSE	0	wolf	0	16	16	31	8	32	39	435	6	7	783	1821	2744	12	100	120	100	2000	175	30028	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	???? ????	S_KNIGHT	MONSTER	MELEE	9		AGGR	0	ANIMAL	CURSE	0	wolf	0	23	24	31	8	33	41	743	6	7	783	1821	2744	13	100	120	100	2000	175	30069	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133	???? ????	KNIGHT	MONSTER	MELEE	11		AGGR	0	ANIMAL	CURSE	0	wolf	0	16	16	32	8	37	45	564	6	7	783	1821	5420	15	100	120	100	2000	175	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134	???? ?? ????	S_KNIGHT	MONSTER	MELEE	14		AGGR	0	ANIMAL	CURSE	0	wolf	0	24	33	32	8	42	51	1110	6	7	783	1821	5420	18	100	120	100	2000	175	30027	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135	???? ????	KNIGHT	MONSTER	MELEE	18		AGGR	0	ANIMAL	CURSE	0	wolf	0	17	25	25	8	49	60	936	6	7	783	1821	5420	22	100	120	100	2000	175	30070	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	???? ?? ????	S_KNIGHT	MONSTER	MELEE	21		AGGR	0	ANIMAL	CURSE	0	wolf	0	33	17	17	8	42	78	1761	6	12	783	1821	5420	26	100	120	100	2000	175	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137	???? ???	KNIGHT	MONSTER	MELEE	12		AGGR	0	ANIMAL	CURSE	0	wild_boar	0	35	17	26	9	30	56	610	6	7	783	1821	5420	16	100	120	100	2000	175	30004	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138	???? ?? ???	S_KNIGHT	MONSTER	MELEE	15		AGGR	0	ANIMAL	CURSE	0	wild_boar	0	35	18	26	9	44	53	1192	6	7	783	4821	5420	19	100	120	100	2000	175	30003	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139	???? ?	KNIGHT	MONSTER	MELEE	17		AGGR	0	ANIMAL	CURSE	0	bear	0	36	18	27	9	37	68	875	6	7	783	1821	5420	21	100	120	100	2000	175	30010	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140	???? ???	S_KNIGHT	MONSTER	TANKER	20		AGGR	0	ANIMAL	CURSE	0	bear	0	36	19	27	9	52	64	1659	6	7	783	1821	5420	25	100	120	100	2000	175	30071	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141	???? ???	KNIGHT	MONSTER	TANKER	24		AGGR	0	ANIMAL	CURSE	0	bear	0	37	19	28	9	46	85	1342	6	7	783	1821	5420	29	100	120	100	2000	175	30053	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142	???? ??	S_KNIGHT	MONSTER	TANKER	26		AGGR	0	ANIMAL	CURSE	0	bear	0	37	19	28	9	62	76	2342	4	12	783	1821	5420	31	100	120	100	2000	175	30072	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143	???? ???	KNIGHT	MONSTER	POWER	24		AGGR	0	ANIMAL	CURSE	0	tiger	0	28	38	19	9	52	79	1342	6	12	783	1821	5420	29	100	120	100	2000	175	30038	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144	???? ??	S_KNIGHT	MONSTER	POWER	29		AGGR	0	ANIMAL	CURSE	0	tiger	0	39	30	20	10	53	98	2685	9	22	783	1821	5420	34	100	120	100	2000	175	30023	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151	?? ???? ??	S_KNIGHT	MONSTER	MELEE	9			0	ANIMAL		0	wolf	0	14	8	16	4	33	41	450	6	5	783	1821	3420	15	80	100	25	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
152	?? ???? ??	S_KNIGHT	MONSTER	MELEE	16			0	ANIMAL		0	wolf	0	23	24	12	6	45	55	800	8	10	283	1821	3420	25	80	130	25	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
153	?? ??? ??	S_KNIGHT	MONSTER	MELEE	10			0	ANIMAL		0	wild_boar	0	22	9	13	4	35	43	600	6	5	783	1821	5420	15	80	100	30	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
154	?? ??	S_KNIGHT	MONSTER	POWER	21			0	ANIMAL		0	bear	0	35	15	23	8	54	66	1000	8	10	783	1821	3420	26	100	100	40	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155	?? ??	S_KNIGHT	MONSTER	POWER	24		AGGR	0	ANIMAL		0	tiger	0	25	17	45	9	59	72	1200	15	20	783	1821	3420	29	100	130	50	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
171	??? ??	PAWN	MONSTER	MELEE	1			0	ANIMAL		0	stray_dog	0	3	6	5	2	24	29	101	6	7	783	1821	5320	4	100	100	0	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172	??? ??	PAWN	MONSTER	MELEE	3			0	ANIMAL		0	wolf	0	4	9	7	2	28	34	129	6	7	783	1821	3420	6	100	100	25	2000	175	30028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
173	??? ????	PAWN	MONSTER	MELEE	4			0	ANIMAL		0	wolf	0	8	5	10	3	30	36	145	6	7	783	1821	3420	7	100	130	25	2000	175	30069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
174	??? ????	PAWN	MONSTER	MELEE	6			0	ANIMAL		0	wolf	0	9	12	6	3	30	46	180	6	7	783	1821	3420	9	100	100	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
175	??? ?? ????	PAWN	MONSTER	MELEE	9			0	ANIMAL		0	wolf	0	14	8	16	4	40	49	238	6	7	283	1821	3320	13	80	100	25	2000	175	30027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
176	??? ????	PAWN	MONSTER	MELEE	13			0	ANIMAL		0	wolf	0	21	21	10	5	48	59	329	6	7	783	1821	3420	17	100	100	25	2000	175	30070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
177	??? ?? ????	S_PAWN	MONSTER	MELEE	16			0	ANIMAL		0	wolf	0	23	24	12	6	54	66	491	6	12	783	1821	3420	20	80	130	25	2000	175	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
178	??? ???	PAWN	MONSTER	MELEE	7			0	ANIMAL		0	wild_boar	0	14	7	10	3	36	44	198	6	7	783	1821	3420	11	80	100	30	2000	175	30004	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
179	??? ?? ???	S_PAWN	MONSTER	MELEE	10			0	ANIMAL		0	wild_boar	0	22	9	13	4	42	52	311	3	7	783	1821	3420	14	80	100	30	2000	175	30003	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180	??? ?	PAWN	MONSTER	POWER	12			0	ANIMAL		0	bear	0	20	10	20	5	47	56	305	6	7	783	1821	5420	16	100	70	40	2000	175	30010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
181	??? ???	S_PAWN	MONSTER	TANKER	15			0	ANIMAL		0	bear	0	14	17	34	6	53	64	458	6	7	783	1821	5420	19	100	100	40	2000	175	30071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
182	??? ???	PAWN	MONSTER	POWER	19			0	ANIMAL		0	bear	0	36	14	21	7	60	74	499	6	7	283	1821	5420	24	100	100	40	2000	175	30053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
183	??? ??	S_PAWN	MONSTER	POWER	21			0	ANIMAL		0	bear	0	35	15	23	8	65	79	676	6	12	783	1821	5420	26	100	100	40	2000	175	30072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	1	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
184	??? ???	PAWN	MONSTER	POWER	18			0	ANIMAL		0	tiger	0	18	20	27	7	59	72	468	6	12	783	1821	5420	22	100	100	50	2000	175	30038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
185	??? ??	S_PAWN	MONSTER	POWER	24		AGGR	0	ANIMAL		0	tiger	0	25	17	45	9	71	86	805	10	22	783	1821	5420	29	100	130	50	2000	175	30023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	1	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
191	???	S_KNIGHT	MONSTER	MELEE	30			0	ANIMAL	STUN,SLOW,CURSE,TERROR	0	mountain_dog_god	0	39	20	30	10	52	96	2940	4	12	783	4821	5420	35	100	140	100	2000	175	0	0	0	0	0	3	5	20	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
192	??	S_KNIGHT	MONSTER	MELEE	31			0	ANIMAL	STUN,SLOW,CURSE,TERROR	0	wild_boar_god	0	30	20	41	10	68	84	3069	14	17	783	4821	7500	37	100	140	100	2000	175	0	0	0	0	0	3	5	20	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
193	??	S_KNIGHT	MONSTER	TANKER	33			0	ANIMAL	STUN,SLOW,CURSE,TERROR	0	bear	0	32	22	43	11	72	88	3385	19	22	783	4821	7660	39	100	140	100	2000	175	0	0	0	0	0	3	5	20	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
194	??	S_KNIGHT	MONSTER	POWER	35			0	ANIMAL	STUN,SLOW,CURSE,TERROR	0	tiger	0	23	45	34	11	67	100	3616	24	27	783	4821	7820	41	100	140	100	2000	175	0	0	0	0	0	3	5	20	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0
301	????	PAWN	MONSTER	MAGIC	18			0	HUMAN	SLOW	0	bksoldier	0	27	20	13	7	49	60	613	6	5	783	1821	3865	22	100	120	35	2000	175	30034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
302	????	PAWN	MONSTER	MAGIC	20			0	HUMAN	SLOW	0	bkarcher	0	22	29	15	7	46	70	506	6	7	783	1821	3805	25	60	130	35	2000	650	30031	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
303	???? ??	S_PAWN	MONSTER	MAGIC	25			0	HUMAN	SLOW	0	bkknight	0	35	26	18	9	47	88	1115	8	12	783	3821	3848	30	100	120	35	2000	175	30011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
304	???? ??	S_PAWN	MONSTER	MAGIC	25		AGGR	0	HUMAN	SLOW	0	bkknight	0	35	26	18	9	61	74	1115	8	12	2783	3821	3848	30	100	120	35	2000	175	30073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
331	???? ??	S_PAWN	MONSTER	MELEE	18		AGGR	0	HUMAN	SLOW	0	bksoldier	0	27	20	13	7	56	69	1450	12	7	2783	3821	3558	22	110	120	35	2000	150	30034	0	0	0	0	0	10	10	0	-5	0	0	0	0	0	0	0	30	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
332	???? ??	S_PAWN	MONSTER	RANGE	20		AGGR	0	HUMAN	SLOW	0	bkarcher	0	22	29	15	7	53	80	1622	12	7	2783	3821	3606	25	70	130	35	2000	650	30031	0	0	0	0	0	10	10	0	-5	0	0	0	0	0	0	0	30	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
333	???? ??	KNIGHT	MONSTER	MELEE	25		AGGR	0	HUMAN	SLOW	0	bkknight	0	35	26	18	9	53	99	3207	10	7	2783	3821	3452	30	110	120	35	2000	150	30011	0	0	0	0	0	10	10	0	-5	0	0	0	0	0	0	0	30	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
334	???? ??	KNIGHT	MONSTER	MELEE	25		AGGR	0	HUMAN	SLOW	0	bkknight	0	35	26	18	9	53	99	3207	10	7	2783	3821	3452	30	110	120	35	2000	150	30073	0	0	0	0	0	10	10	0	-5	0	0	0	0	0	0	0	30	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
351	??? ????	S_PAWN	MONSTER	MAGIC	18			0	HUMAN	SLOW	0	bksoldier	0	27	20	13	7	59	72	490	6	5	2783	3321	3856	22	100	120	35	2000	175	30034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
352	??? ????	S_PAWN	MONSTER	MAGIC	20			0	HUMAN	SLOW	0	bkarcher	0	22	29	15	7	55	84	404	6	7	2783	3821	3884	25	60	130	35	2000	650	30031	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
353	??? ???? ??	KNIGHT	MONSTER	MAGIC	25			0	HUMAN	SLOW	0	bkknight	0	35	26	18	9	56	106	892	8	12	2783	3821	3594	30	100	120	35	2000	175	30011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
